id,Red Distance,Green Distance,Blue Distance,Score
5.0,1215.79,222.36,1347.93,0.13
5.0,1255.5,302.02,1412.24,0.07
6.0,265.28,724.94,133.09,1.0
6.0,265.59,725.58,132.46,0.93
6.0,143.85,643.54,239.89,0.87
6.0,185.08,505.07,369.7,0.8
6.0,295.59,365.4,506.11,0.73
6.0,422.39,229.16,642.16,0.67
6.0,552.92,101.06,776.97,0.6
6.0,690.65,74.11,916.76,0.53
6.0,828.25,198.08,1054.12,0.47
6.0,904.0,319.73,1156.63,0.4
6.0,1044.96,443.79,1292.79,0.33
6.0,1132.49,563.1,1397.8,0.27
6.0,1232.59,626.84,1479.9,0.2
6.0,1343.09,715.16,1573.12,0.13
6.0,1454.93,814.92,1669.62,0.07
7.0,585.17,365.79,56.6,1.0
7.0,619.71,498.78,133.17,0.93
7.0,757.42,588.48,215.38,0.87
7.0,892.19,691.54,335.2,0.8
7.0,1032.06,807.76,468.56,0.73
7.0,1171.42,929.41,604.31,0.67
7.0,1300.68,1046.19,731.57,0.6
7.0,1442.77,1176.15,871.45,0.53
7.0,1427.04,1225.75,895.32,0.47
7.0,1424.39,1286.97,937.91,0.4
7.0,1435.55,1360.8,998.85,0.33
7.0,1459.88,1445.1,1074.99,0.27
7.0,1497.93,1538.98,1164.4,0.2
7.0,1549.9,1641.99,1265.59,0.13
7.0,1608.53,1742.96,1366.49,0.07
8.0,758.2,1268.45,146.15,1.0
8.0,758.65,1268.73,145.69,0.93
8.0,637.29,1141.1,262.34,0.87
8.0,518.77,1009.44,396.17,0.8
8.0,415.29,879.91,533.4,0.73
8.0,339.89,752.49,673.74,0.67
8.0,310.72,634.84,814.47,0.6
9.0,1644.42,1694.35,58.91,1.0
9.0,1558.0,1619.13,178.26,0.93
9.0,1479.22,1552.38,315.4,0.87
9.0,1412.65,1498.07,450.13,0.8
9.0,1356.04,1454.3,587.9,0.73
9.0,1311.97,1423.24,728.21,0.67
9.0,1282.94,1406.63,867.88,0.6
9.0,1268.55,1403.85,1010.47,0.53
9.0,1270.06,1414.8,1143.16,0.47
9.0,1292.31,1445.46,1287.34,0.4
9.0,1151.69,1306.16,1285.07,0.33
9.0,1016.6,1172.55,1297.0,0.27
9.0,884.01,1041.71,1322.59,0.2
9.0,746.16,906.1,1363.28,0.13
9.0,609.08,772.01,1420.41,0.07
10.0,487.83,1020.19,68.97,1.0
10.0,611.12,911.79,107.91,0.93
10.0,622.63,879.31,139.55,0.87
10.0,640.03,830.07,188.64,0.8
10.0,775.35,724.06,309.1,0.73
10.0,915.14,627.73,444.56,0.67
11.0,1162.96,1258.28,137.48,1.0
11.0,1163.66,1259.21,136.6,0.93
11.0,1061.1,1251.33,235.23,0.87
11.0,925.75,1148.51,367.19,0.8
11.0,822.65,1172.32,486.09,0.73
11.0,690.98,1100.91,611.29,0.67
11.0,547.28,1035.14,750.28,0.6
11.0,411.14,986.0,883.31,0.53
11.0,271.19,953.33,1021.7,0.47
11.0,139.69,936.79,1155.46,0.4
11.0,47.33,945.4,1290.76,0.33
11.0,186.67,855.98,1375.74,0.27
11.0,332.22,782.93,1470.35,0.2
11.0,463.36,735.84,1561.84,0.13
11.0,600.92,709.52,1663.41,0.07
12.0,645.37,72.33,227.58,1.0
12.0,646.96,70.46,229.38,0.93
12.0,647.86,69.42,230.38,0.87
12.0,649.03,68.05,231.7,0.8
12.0,653.46,62.87,236.68,0.73
12.0,653.9,62.35,237.19,0.67
12.0,657.4,58.27,241.12,0.6
12.0,657.4,58.27,241.12,0.53
12.0,660.72,54.41,244.85,0.47
12.0,661.18,53.87,245.37,0.4
12.0,662.35,52.51,246.69,0.33
12.0,664.05,50.53,248.6,0.27
12.0,664.5,50.0,249.11,0.2
12.0,669.38,44.38,254.58,0.13
12.0,669.38,44.38,254.58,0.07
13.0,524.06,693.94,173.61,1.0
13.0,524.51,693.6,174.1,0.93
13.0,526.94,691.83,176.71,0.87
13.0,526.94,691.83,176.71,0.8
13.0,624.57,626.44,280.49,0.73
13.0,756.47,555.37,419.16,0.67
14.0,1318.32,471.38,172.2,1.0
14.0,1316.54,469.77,174.1,0.93
14.0,1314.67,468.1,176.09,0.87
14.0,1314.17,467.64,176.63,0.8
14.0,1310.11,464.06,180.94,0.73
14.0,1203.78,374.45,295.05,0.67
14.0,1078.5,291.39,431.67,0.6
14.0,958.59,255.15,567.93,0.53
14.0,834.03,367.22,661.14,0.47
14.0,708.62,494.91,770.47,0.4
15.0,778.49,199.56,176.81,1.0
15.0,777.07,197.53,178.82,0.93
15.0,773.04,195.7,179.96,0.87
15.0,640.43,146.45,276.11,0.8
15.0,498.73,206.06,403.28,0.73
15.0,368.86,312.5,527.25,0.67
15.0,231.41,442.54,663.01,0.6
15.0,215.82,560.61,731.23,0.53
15.0,166.94,694.27,876.14,0.47
15.0,216.94,818.46,1007.46,0.4
15.0,324.4,952.3,1146.72,0.33
15.0,446.22,1083.69,1281.81,0.27
15.0,506.61,1152.98,1378.48,0.2
15.0,485.3,1120.22,1378.49,0.13
15.0,502.49,1106.62,1391.75,0.07
16.0,895.12,691.5,43.06,1.0
16.0,1030.82,651.29,143.35,0.93
16.0,1175.32,638.0,284.81,0.87
16.0,1306.52,653.92,415.2,0.8
16.0,1438.59,699.74,547.08,0.73
16.0,1530.63,652.82,641.64,0.67
16.0,1552.27,608.11,670.29,0.6
16.0,1518.44,488.43,659.96,0.53
16.0,1452.08,352.71,632.52,0.47
16.0,1396.66,219.85,633.72,0.4
16.0,1349.68,84.28,665.49,0.33
16.0,1321.13,79.01,723.35,0.27
16.0,1193.5,100.87,606.08,0.2
16.0,1178.31,211.31,700.66,0.13
16.0,1074.65,335.98,703.42,0.07
17.0,230.49,1343.34,150.01,1.0
17.0,229.03,1342.49,149.71,0.93
17.0,97.82,1217.45,265.58,0.87
17.0,68.36,1102.72,388.98,0.8
17.0,154.62,1155.51,373.97,0.73
17.0,284.24,1134.35,483.04,0.67
17.0,406.13,1231.64,522.04,0.6
17.0,530.1,1333.51,586.33,0.53
17.0,647.32,1348.64,718.15,0.47
17.0,772.19,1376.89,853.16,0.4
17.0,902.6,1418.44,990.91,0.33
17.0,1043.55,1476.38,1137.26,0.27
17.0,1172.15,1538.77,1269.66,0.2
17.0,1287.77,1602.19,1387.87,0.13
17.0,1359.71,1578.99,1484.31,0.07
