id,Red Distance,Green Distance,Blue Distance,Score
12.0,485.62,136.51,662.53,0.93
12.0,351.06,251.71,528.17,0.87
12.0,211.61,384.56,389.02,0.8
12.0,74.58,518.69,252.43,0.73
12.0,66.31,657.18,115.01,0.67
12.0,201.71,791.81,42.71,0.6
12.0,335.82,925.08,163.2,0.53
12.0,473.42,1061.77,298.83,0.47
12.0,579.8,1172.75,416.33,0.4
12.0,609.37,1196.32,470.7,0.33
12.0,670.0,1237.16,559.2,0.27
12.0,750.18,1290.61,663.0,0.2
12.0,837.3,1350.28,768.03,0.13
12.0,942.59,1425.58,888.87,0.07
13.0,804.46,227.9,750.15,1.0
13.0,803.93,228.41,750.17,0.93
13.0,799.56,232.64,750.32,0.87
13.0,799.56,232.64,750.32,0.8
13.0,795.48,236.59,750.44,0.73
13.0,795.48,236.59,750.44,0.67
13.0,791.51,240.44,750.59,0.6
13.0,791.51,240.44,750.59,0.53
13.0,787.21,244.61,750.76,0.47
13.0,786.84,244.96,750.76,0.4
13.0,784.87,246.87,750.83,0.33
13.0,782.83,248.85,750.96,0.27
13.0,780.47,251.15,751.05,0.2
13.0,778.09,253.45,751.18,0.13
13.0,776.11,255.38,751.28,0.07
14.0,926.52,163.62,508.73,1.0
14.0,926.24,161.68,506.93,0.93
14.0,1056.91,276.3,499.07,0.87
14.0,1124.16,404.52,619.7,0.8
14.0,1200.59,535.54,745.63,0.73
14.0,1334.61,647.37,794.48,0.67
14.0,1473.59,768.02,858.93,0.6
14.0,1568.88,897.83,997.13,0.53
14.0,1669.96,1029.63,1135.1,0.47
14.0,1767.62,1150.18,1258.29,0.4
14.0,1774.82,1214.64,1361.07,0.33
14.0,1681.11,1175.79,1366.14,0.27
14.0,1595.13,1152.33,1384.39,0.2
14.0,1514.67,1144.39,1416.12,0.13
14.0,1442.18,1153.22,1460.83,0.07
15.0,990.77,99.21,1102.74,1.0
15.0,907.77,225.58,966.66,0.93
15.0,767.32,350.08,907.07,0.87
15.0,626.78,484.7,865.5,0.8
15.0,486.31,623.8,844.34,0.73
15.0,352.07,758.89,848.63,0.67
16.0,235.49,188.46,1258.41,1.0
16.0,230.91,184.82,1263.22,0.93
16.0,362.83,297.91,1122.72,0.87
16.0,493.37,421.74,988.62,0.8
16.0,631.73,556.73,848.63,0.73
17.0,271.33,46.56,1398.18,1.0
17.0,238.54,161.8,1261.91,0.93
17.0,280.44,298.04,1123.4,0.87
17.0,374.36,436.66,984.11,0.8
17.0,486.42,572.65,848.63,0.73
18.0,1352.78,54.54,1392.19,1.0
18.0,1304.35,172.5,1316.91,0.93
18.0,1269.27,299.76,1253.54,0.87
18.0,1251.02,434.27,1203.6,0.8
18.0,1133.4,520.79,1070.6,0.73
18.0,1138.06,649.31,1040.75,0.67
18.0,1046.28,757.17,924.32,0.6
18.0,961.8,874.76,810.82,0.53
18.0,890.15,1000.67,705.16,0.47
18.0,844.36,1120.33,625.25,0.4
18.0,722.72,1171.39,490.33,0.33
18.0,602.73,1235.82,352.09,0.27
18.0,494.21,1313.7,217.23,0.2
18.0,412.3,1395.6,109.71,0.13
18.0,360.62,1489.09,112.5,0.07
19.0,984.27,159.76,842.56,1.0
19.0,987.71,156.93,843.31,0.93
19.0,849.38,273.2,848.63,0.87
20.0,769.66,174.37,455.97,1.0
20.0,766.89,177.85,459.08,0.93
20.0,702.02,266.68,537.68,0.87
20.0,562.11,367.16,666.55,0.8
20.0,429.16,482.44,793.6,0.73
20.0,292.4,611.78,929.02,0.67
20.0,168.97,740.84,1061.26,0.6
20.0,95.9,874.28,1196.53,0.53
20.0,168.22,1004.84,1328.27,0.47
20.0,230.51,1122.64,1443.42,0.4
20.0,254.82,1153.83,1467.07,0.33
20.0,341.13,1200.89,1503.72,0.27
20.0,446.15,1256.91,1548.27,0.2
20.0,561.48,1323.2,1601.99,0.13
20.0,689.77,1403.41,1668.28,0.07
21.0,1439.4,63.15,1173.51,1.0
21.0,1393.31,174.13,1188.49,0.93
21.0,1360.91,307.38,1219.32,0.87
21.0,1342.09,441.61,1263.85,0.8
21.0,1337.83,574.48,1320.74,0.73
21.0,1348.6,712.07,1391.58,0.67
21.0,1374.51,851.38,1473.68,0.6
21.0,1414.67,990.51,1564.51,0.53
21.0,1466.33,1127.51,1660.67,0.47
21.0,1531.37,1263.29,1763.81,0.4
21.0,1524.75,1286.27,1768.11,0.33
21.0,1529.17,1290.75,1773.14,0.27
21.0,1497.42,1266.57,1740.14,0.2
21.0,1476.57,1153.05,1678.78,0.13
21.0,1480.27,1149.89,1680.24,0.07
